epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,8180.21,0.95435,0.75711,1.20074,0.76302,0.78284,0.82085,0.61935,1.00415,0.82245,1.18713,0.00013625,0.00013625,0.00013625
92,8264.91,0.92121,0.71823,1.17772,0.76275,0.81178,0.83074,0.62902,0.99616,0.80478,1.18569,0.000123875,0.000123875,0.000123875
93,8355.69,0.92641,0.70789,1.18456,0.77696,0.80086,0.83342,0.63384,0.98694,0.79053,1.18305,0.0001115,0.0001115,0.0001115
94,8441.73,0.92049,0.71639,1.17577,0.76459,0.82162,0.8349,0.63485,0.98456,0.78912,1.17805,9.9125e-05,9.9125e-05,9.9125e-05
95,8532.25,0.90351,0.69359,1.16297,0.75728,0.81318,0.83041,0.6314,0.99062,0.79326,1.1806,8.675e-05,8.675e-05,8.675e-05
96,8636,0.88468,0.67895,1.1512,0.76255,0.81866,0.83307,0.6351,0.9804,0.78908,1.17491,7.4375e-05,7.4375e-05,7.4375e-05
97,8721.25,0.88642,0.68023,1.15084,0.76206,0.81471,0.83333,0.63796,0.9773,0.79314,1.17343,6.2e-05,6.2e-05,6.2e-05
98,8811.23,0.88063,0.67081,1.14689,0.7551,0.81721,0.83324,0.63747,0.97111,0.78881,1.17068,4.9625e-05,4.9625e-05,4.9625e-05
99,8900.26,0.87501,0.66622,1.14532,0.75753,0.82352,0.83372,0.63857,0.97097,0.78732,1.16945,3.725e-05,3.725e-05,3.725e-05
100,8986.97,0.87159,0.67166,1.14553,0.76488,0.81481,0.83453,0.63963,0.9683,0.78681,1.16785,2.4875e-05,2.4875e-05,2.4875e-05
